Temperature,Humidity%,Rainfall
34,74.2,Low
19,68.2,No Rain
28,67.2,Moderate
29,66.6,Moderate
26,57.9,Low
24,55.9,Low
27,65.6,Low
17,64.6,No Rain
23,59.3,Low
33,65.4,Moderate
12,54.5,No Rain
24,67.8,Low
13,54.8,No Rain
28,45.5,Low
25,48.2,Low
19,42.1,No Rain
12,44.7,No Rain
21,41.9,No Rain
13,39.1,No Rain
19,51.4,No Rain
30,63.6,Low
19,56.9,No Rain
13,54.3,No Rain
15,54.3,No Rain
14,51.8,No Rain
23,58.2,Low
34,85.8,Low
32,81.7,Moderate
27,84.4,Low
23,96.6,High
31,93.2,Moderate
23,79.3,Low
24,83.2,Low
23,81,Low
26,82.8,Low
18,73.3,No Rain
16,70.8,No Rain
23,73.6,Low
29,86.5,Low
27,83.7,Moderate
16,68.9,No Rain
18,62.1,No Rain
20,62.6,No Rain
23,63,Low
27,80.1,Low
19,69.2,No Rain
16,60.8,No Rain
16,57.8,No Rain
13,57.9,No Rain
21,59.4,No Rain
19,65.4,No Rain
24,64.7,Low
14,68.9,No Rain
30,70.6,Low
15,78.9,No Rain
26,70,Low
16,79.3,No Rain
33,74.1,Low
23,73,Low
15,53.7,No Rain
19,63.8,No Rain
14,63.1,No Rain
29,65,Moderate
16,72.7,No Rain
14,78.3,No Rain
23,78.7,Low
32,89.9,Low
27,71,Low
30,84.8,Low
12,79.1,No Rain
27,74.2,Low
33,79.4,Low
26,73.8,Low
31,69.8,Moderate
32,70.5,Low
31,57.5,Low
32,67.4,Low
33,64.1,Low
27,66.4,Low
26,65,Moderate
28,64.7,Low
28,55.6,Moderate
34,77.3,Low
25,62.8,Low
24,50.5,Low
30,47.4,Low
17,48.3,No Rain
17,42.7,No Rain
21,42,No Rain
13,37.8,No Rain
17,47.5,No Rain
27,60.8,Low
14,55.7,No Rain
13,51.8,No Rain
13,51.6,No Rain
12,51.6,No Rain
34,59.8,Low
25,85.1,Low
33,82.1,Moderate
25,85.9,Moderate
23,96,High
30,92.4,Moderate
25,79.3,Low
34,82,Low
25,87.6,Low
25,86.1,Moderate
16,72.6,No Rain
34,73.1,Low
30,84,Low
24,89.3,Low
24,85.8,Moderate
18,79.1,No Rain
16,66.7,No Rain
18,63.4,No Rain
30,69.2,Low
29,81.9,Moderate
25,71.4,Low
19,65,No Rain
13,62.2,No Rain
16,60.8,No Rain
15,61.8,No Rain
25,65.8,Low
31,70.8,Low
14,71.3,No Rain
31,74.3,Low
31,86.6,Low
33,72.8,Low
25,78,Low
23,75.5,Low
29,75.7,Low
14,59.2,No Rain
15,63,No Rain
32,63.3,Low
28,70.1,Low
26,74.4,Low
15,82.8,No Rain
29,80.4,Low
23,95.3,Low
24,76.6,Low
28,88.2,Low
28,83.7,Low
24,78.1,Low
24,81,Low
32,80.2,Moderate
26,81.5,Moderate
27,75.8,Low
23,70.2,Low
31,74.6,Low
33,71.8,Low
18,69.5,No Rain
33,67.6,Low
25,68.8,Low
31,64.2,Moderate
29,71.1,Low
12,69,No Rain
31,61.2,Low
23,58.2,Low
15,58.7,No Rain
21,52.5,No Rain
14,50.4,No Rain
29,48,Low
12,62.3,No Rain
26,73.4,Low
25,67.1,Low
17,61.7,No Rain
16,61.5,No Rain
15,59.2,No Rain
31,62.8,Low
31,82.5,Low
29,83.4,Moderate
31,88.8,Moderate
33,90.6,High
26,88.3,Moderate
